gameId,playId,nflId,displayName,frameId,time,jerseyNumber,club,playDirection,x,y,s,a,dis,o,dir,event
9000001,101,8,Synthetic LB,2,2025-09-07T19:00:00.1,52,BBB,right,53.0,28.0,0.00,0.00,0.00,270.0,270.0,ball_snap
9000001,101,9,Synthetic S,2,2025-09-07T19:00:00.1,31,BBB,right,60.0,26.0,0.00,0.00,0.00,270.0,270.0,ball_snap
9000001,101,,football,2,2025-09-07T19:00:00.1,,football,right,50.0,26.6,0.0,0.0,0.0,,,ball_snap
9000001,102,1,Synthetic QB,1,2025-09-07T19:02:00.0,9,AAA,right,46.0,26.6,0.10,0.10,0.01,90.0,90.0,
9000001,102,2,Synthetic RB,1,2025-09-07T19:02:00.0,21,AAA,right,43.0,26.6,0.10,0.10,0.01,90.0,90.0,
9000001,102,3,Synthetic WR L,1,2025-09-07T19:02:00.0,11,AAA,right,49.5,8.0,0.10,0.10,0.01,88.0,88.0,
9000001,102,4,Synthetic WR R,1,2025-09-07T19:02:00.0,80,AAA,right,49.5,45.0,0.10,0.10,0.01,92.0,92.0,
9000001,102,5,Synthetic TE,1,2025-09-07T19:02:00.0,88,AAA,right,49.5,33.0,1.60,1.00,0.16,90.0,180.0,
9000001,102,6,Synthetic CB L,1,2025-09-07T19:02:00.0,24,BBB,right,52.0,9.0,0.10,0.10,0.01,270.0,270.0,
9000001,102,7,Synthetic CB R,1,2025-09-07T19:02:00.0,25,BBB,right,52.0,44.0,0.10,0.10,0.01,270.0,270.0,
9000001,102,8,Synthetic LB,1,2025-09-07T19:02:00.0,52,BBB,right,53.0,29.0,0.10,0.10,0.01,270.0,270.0,
9000001,102,9,Synthetic S,1,2025-09-07T19:02:00.0,31,BBB,right,62.0,26.0,0.10,0.10,0.01,270.0,270.0,
9000001,102,,football,1,2025-09-07T19:02:00.0,,football,right,50.0,26.6,0.0,0.0,0.0,,,
9000001,102,1,Synthetic QB,2,2025-09-07T19:02:00.1,9,AAA,right,46.0,26.6,0.00,0.00,0.00,90.0,90.0,ball_snap
9000001,102,2,Synthetic RB,2,2025-09-07T19:02:00.1,21,AAA,right,43.0,26.6,0.00,0.00,0.00,90.0,90.0,ball_snap
9000001,102,3,Synthetic WR L,2,2025-09-07T19:02:00.1,11,AAA,right,49.5,8.0,0.00,0.00,0.00,88.0,88.0,ball_snap
9000001,102,4,Synthetic WR R,2,2025-09-07T19:02:00.1,80,AAA,right,49.5,45.0,0.00,0.00,0.00,92.0,92.0,ball_snap
9000001,102,5,Synthetic TE,2,2025-09-07T19:02:00.1,88,AAA,right,49.5,33.0,2.00,1.30,0.20,90.0,180.0,ball_snap
9000001,102,6,Synthetic CB L,2,2025-09-07T19:02:00.1,24,BBB,right,52.0,9.0,0.00,0.00,0.00,270.0,270.0,ball_snap
9000001,102,7,Synthetic CB R,2,2025-09-07T19:02:00.1,25,BBB,right,52.0,44.0,0.00,0.00,0.00,270.0,270.0,ball_snap
9000001,102,8,Synthetic LB,2,2025-09-07T19:02:00.1,52,BBB,right,53.0,29.0,0.00,0.00,0.00,270.0,270.0,ball_snap
9000001,102,9,Synthetic S,2,2025-09-07T19:02:00.1,31,BBB,right,62.0,26.0,0.00,0.00,0.00,270.0,270.0,ball_snap
9000001,102,,football,2,2025-09-07T19:02:00.1,,football,right,50.0,26.6,0.0,0.0,0.0,,,ball_snap
